Clients  100
Depots  20
BoundaryPoints  0
Distance [2,12] 52
Distance [2,13] 34
Distance [2,14] 31
Distance [2,15] 33
Distance [2,16] 78
Distance [2,17] 29
Distance [2,18] 9
Distance [2,19] 35
Distance [2,20] 80
Distance [3,1] 47
Distance [3,2] 32
Distance [3,3] 37
Distance [3,4] 42
Distance [3,5] 25
Distance [3,6] 55
Distance [3,7] 17
Distance [3,8] 39
Distance [3,9] 74
Distance [3,10] 77
Distance [3,11] 39
Distance [3,12] 32
Distance [3,13] 1
Distance [3,14] 4
Distance [3,15] 53
Distance [3,16] 60
Distance [3,17] 25
Distance [3,18] 36
Distance [3,19] 68
Distance [3,20] 46
Distance [4,1] 76
Distance [4,2] 51
Distance [4,3] 26
Distance [4,4] 70
Distance [4,5] 43
Distance [4,6] 74
Distance [4,7] 33
Distance [4,8] 64
Distance [4,9] 100
Distance [4,10] 103
Distance [4,11] 66
Distance [4,12] 23
Distance [4,13] 27
Distance [4,14] 25
Distance [4,15] 62
Distance [4,16] 88
Distance [4,17] 44
Distance [4,18] 24
Distance [4,19] 65
Distance [4,20] 72
Distance [5,1] 43
Distance [5,2] 12
Distance [5,3] 52
Distance [5,4] 43
Distance [5,5] 61
Distance [5,6] 13
Distance [5,7] 30
Distance [5,8] 60
Distance [5,9] 39
Distance [5,10] 42
Distance [5,11] 18
Distance [5,12] 74
Distance [5,13] 42
Distance [5,14] 43
Distance [5,15] 26
Distance [5,16] 37
Distance [5,17] 19
Distance [5,18] 53
Distance [5,19] 54
Distance [5,20] 62
Distance [6,1] 16
Distance [6,2] 37
Distance [6,3] 66
Distance [6,4] 10
Distance [6,5] 31
Distance [6,6] 51
Distance [6,7] 39
Distance [6,8] 21
Distance [6,9] 53
Distance [6,10] 56
Distance [6,11] 24
Distance [6,12] 57
Distance [6,13] 33
Distance [6,14] 36
Distance [6,15] 63
Distance [6,16] 34
Distance [6,17] 36
Distance [6,18] 65
Distance [6,19] 87
Distance [6,20] 22
Distance [7,1] 81
Distance [7,2] 37
Distance [7,3] 17
Distance [7,4] 78
Distance [7,5] 71
Distance [7,6] 49
Distance [7,7] 32
Distance [7,8] 85
Distance [7,9] 85
Distance [7,10] 87
Distance [7,11] 60
Distance [7,12] 64
Distance [7,13] 46
Distance [7,14] 43
Distance [7,15] 28
Distance [7,16] 82
Distance [7,17] 35
Distance [7,18] 19
Distance [7,19] 22
Distance [7,20] 90
Distance [8,1] 51
Distance [8,2] 62
Distance [8,3] 68
Distance [8,4] 44
Distance [8,5] 9
Distance [8,6] 83
Distance [8,7] 51
Distance [8,8] 24
Distance [8,9] 90
Distance [8,10] 94
Distance [8,11] 59
Distance [8,12] 32
Distance [8,13] 34
Distance [8,14] 36
Distance [8,15] 86
Distance [8,16] 71
Distance [8,17] 56
Distance [8,18] 67
Distance [8,19] 102
Distance [8,20] 31
Distance [9,1] 89
Distance [9,2] 43
Distance [9,3] 31
Distance [9,4] 87
Distance [9,5] 84
Distance [9,6] 49
Distance [9,7] 43
Distance [9,8] 96
Distance [9,9] 86
Distance [9,10] 88
Distance [9,11] 65
Distance [9,12] 79
Distance [9,13] 59
Distance [9,14] 56
Distance [9,15] 25
Distance [9,16] 86
Distance [9,17] 43
Distance [9,18] 33
Distance [9,19] 8
Distance [9,20] 101
Distance [10,1] 73
Distance [10,2] 65
Distance [10,3] 51
Distance [10,4] 67
Distance [10,5] 29
Distance [10,6] 88
Distance [10,7] 47
Distance [10,8] 52
Distance [10,9] 106
Distance [10,10] 110
Distance [10,11] 72
Distance [10,12] 2
Distance [10,13] 33
Distance [10,14] 32
Distance [10,15] 82
Distance [10,16] 90
Distance [10,17] 57
Distance [10,18] 49
Distance [10,19] 89
Distance [10,20] 61
Distance [11,1] 87
Distance [11,2] 53
Distance [11,3] 15
Distance [11,4] 82
Distance [11,5] 59
Distance [11,6] 73
Distance [11,7] 37
Distance [11,8] 79
Distance [11,9] 104
Distance [11,10] 107
Distance [11,11] 72
Distance [11,12] 40
Distance [11,13] 39
Distance [11,14] 36
Distance [11,15] 57
Distance [11,16] 95
Distance [11,17] 47
Distance [11,18] 13
Distance [11,19] 52
Distance [11,20] 86
Distance [12,1] 59
Distance [12,2] 60
Distance [12,3] 59
Distance [12,4] 52
Distance [12,5] 13
Distance [12,6] 82
Distance [12,7] 46
Distance [12,8] 35
Distance [12,9] 95
Distance [12,10] 99
Distance [12,11] 62
Distance [12,12] 19
Distance [12,13] 29
Distance [12,14] 30
Distance [12,15] 82
Distance [12,16] 77
Distance [12,17] 54
Distance [12,18] 57
Distance [12,19] 94
Distance [12,20] 43
Distance [13,1] 55
Distance [13,2] 18
Distance [13,3] 25
Distance [13,4] 52
Distance [13,5] 47
Distance [13,6] 39
Distance [13,7] 5
Distance [13,8] 58
Distance [13,9] 68
Distance [13,10] 71
Distance [13,11] 37
Distance [13,12] 49
Distance [13,13] 21
Distance [13,14] 20
Distance [13,15] 32
Distance [13,16] 60
Distance [13,17] 11
Distance [13,18] 25
Distance [13,19] 46
Distance [13,20] 63
Distance [14,1] 48
Distance [14,2] 36
Distance [14,3] 75
Distance [14,4] 52
Distance [14,5] 80
Distance [14,6] 17
Distance [14,7] 54
Distance [14,8] 74
Distance [14,9] 20
Distance [14,10] 22
Distance [14,11] 29
Distance [14,12] 97
Distance [14,13] 65
Distance [14,14] 66
Distance [14,15] 41
Distance [14,16] 31
Distance [14,17] 43
Distance [14,18] 76
Distance [14,19] 69
Distance [14,20] 73
Distance [15,1] 61
Distance [15,2] 46
Distance [15,3] 37
Distance [15,4] 54
Distance [15,5] 25
Distance [15,6] 69
Distance [15,7] 28
Distance [15,8] 46
Distance [15,9] 89
Distance [15,10] 93
Distance [15,11] 55
Distance [15,12] 17
Distance [15,13] 14
Distance [15,14] 13
Distance [15,15] 64
Distance [15,16] 75
Distance [15,17] 39
Distance [15,18] 35
Distance [15,19] 73
Distance [15,20] 54
Distance [16,1] 49
Distance [16,2] 34
Distance [16,3] 38
Distance [16,4] 43
Distance [16,5] 23
Distance [16,6] 57
Distance [16,7] 19
Distance [16,8] 39
Distance [16,9] 76
Distance [16,10] 79
Distance [16,11] 41
Distance [16,12] 30
Distance [16,13] 2
Distance [16,14] 4
Distance [16,15] 55
Distance [16,16] 62
Distance [16,17] 27
Distance [16,18] 36
Distance [16,19] 69
Distance [16,20] 46
Distance [17,1] 15
Distance [17,2] 60
Distance [17,3] 92
Distance [17,4] 16
Distance [17,5] 48
Distance [17,6] 68
Distance [17,7] 64
Distance [17,8] 26
Distance [17,9] 54
Distance [17,10] 57
Distance [17,11] 40
Distance [17,12] 78
Distance [17,13] 58
Distance [17,14] 61
Distance [17,15] 84
Distance [17,16] 33
Distance [17,17] 60
Distance [17,18] 91
Distance [17,19] 110
Distance [17,20] 19
Distance [18,1] 24
Distance [18,2] 25
Distance [18,3] 55
Distance [18,4] 20
Distance [18,5] 33
Distance [18,6] 42
Distance [18,7] 27
Distance [18,8] 31
Distance [18,9] 51
Distance [18,10] 54
Distance [18,11] 17
Distance [18,12] 55
Distance [18,13] 26
Distance [18,14] 28
Distance [18,15] 51
Distance [18,16] 35
Distance [18,17] 24
Distance [18,18] 55
Distance [18,19] 75
Distance [18,20] 34
Distance [19,1] 5
Distance [19,2] 39
Distance [19,3] 74
Distance [19,4] 8
Distance [19,5] 44
Distance [19,6] 47
Distance [19,7] 46
Distance [19,8] 30
Distance [19,9] 41
Distance [19,10] 44
Distance [19,11] 19
Distance [19,12] 71
Distance [19,13] 44
Distance [19,14] 47
Distance [19,15] 63
Distance [19,16] 21
Distance [19,17] 40
Distance [19,18] 74
Distance [19,19] 89
Distance [19,20] 29
Distance [20,1] 63
Distance [20,2] 20
Distance [20,3] 23
Distance [20,4] 61
Distance [20,5] 59
Distance [20,6] 36
Distance [20,7] 17
Distance [20,8] 69
Distance [20,9] 69
Distance [20,10] 72
Distance [20,11] 42
Distance [20,12] 59
Distance [20,13] 33
Distance [20,14] 32
Distance [20,15] 21
Distance [20,16] 65
Distance [20,17] 17
Distance [20,18] 24
Distance [20,19] 34
Distance [20,20] 74
Distance [21,1] 85
Distance [21,2] 41
Distance [21,3] 19
Distance [21,4] 83
Distance [21,5] 75
Distance [21,6] 52
Distance [21,7] 36
Distance [21,8] 89
Distance [21,9] 88
Distance [21,10] 91
Distance [21,11] 64
Distance [21,12] 67
Distance [21,13] 50
Distance [21,14] 47
Distance [21,15] 30
Distance [21,16] 86
Distance [21,17] 39
Distance [21,18] 21
Distance [21,19] 20
Distance [21,20] 95
Distance [22,1] 54
Distance [22,2] 15
Distance [22,3] 27
Distance [22,4] 51
Distance [22,5] 48
Distance [22,6] 37
Distance [22,7] 6
Distance [22,8] 58
Distance [22,9] 65
Distance [22,10] 68
Distance [22,11] 35
Distance [22,12] 51
Distance [22,13] 23
Distance [22,14] 22
Distance [22,15] 30
Distance [22,16] 58
Distance [22,17] 9
Distance [22,18] 27
Distance [22,19] 46
Distance [22,20] 63
Distance [23,1] 72
Distance [23,2] 60
Distance [23,3] 46
Distance [23,4] 65
Distance [23,5] 30
Distance [23,6] 84
Distance [23,7] 43
Distance [23,8] 53
Distance [23,9] 103
Distance [23,10] 107
Distance [23,11] 69
Distance [23,12] 3
Distance [23,13] 29
Distance [23,14] 28
Distance [23,15] 77
Distance [23,16] 88
Distance [23,17] 53
Distance [23,18] 44
Distance [23,19] 84
Distance [23,20] 61
Distance [24,1] 77
Distance [24,2] 51
Distance [24,3] 25
Distance [24,4] 71
Distance [24,5] 44
Distance [24,6] 73
Distance [24,7] 33
Distance [24,8] 65
Distance [24,9] 100
Distance [24,10] 103
Distance [24,11] 66
Distance [24,12] 24
Distance [24,13] 28
Distance [24,14] 25
Distance [24,15] 62
Distance [24,16] 88
Distance [24,17] 44
Distance [24,18] 23
Distance [24,19] 64
Distance [24,20] 73
Distance [25,1] 82
Distance [25,2] 41
Distance [25,3] 8
Distance [25,4] 79
Distance [25,5] 67
Distance [25,6] 56
Distance [25,7] 31
Distance [25,8] 82
Distance [25,9] 90
Distance [25,10] 93
Distance [25,11] 63
Distance [25,12] 57
Distance [25,13] 42
Distance [25,14] 39
Distance [25,15] 36
Distance [25,16] 86
Distance [25,17] 37
Distance [25,18] 10
Distance [25,19] 31
Distance [25,20] 88
Distance [26,1] 67
Distance [26,2] 52
Distance [26,3] 39
Distance [26,4] 61
Distance [26,5] 28
Distance [26,6] 76
Distance [26,7] 35
Distance [26,8] 51
Distance [26,9] 96
Distance [26,10] 100
Distance [26,11] 62
Distance [26,12] 11
Distance [26,13] 21
Distance [26,14] 20
Distance [26,15] 69
Distance [26,16] 82
Distance [26,17] 45
Distance [26,18] 37
Distance [26,19] 77
Distance [26,20] 59
Distance [27,1] 29
Distance [27,2] 69
Distance [27,3] 95
Distance [27,4] 26
Distance [27,5] 43
Distance [27,6] 80
Distance [27,7] 69
Distance [27,8] 20
Distance [27,9] 70
Distance [27,10] 73
Distance [27,11] 52
Distance [27,12] 73
Distance [27,13] 59
Distance [27,14] 62
Distance [27,15] 95
Distance [27,16] 49
Distance [27,17] 68
Distance [27,18] 94
Distance [27,19] 119
Distance [27,20] 12
Distance [28,1] 66
Distance [28,2] 39
Distance [28,3] 22
Distance [28,4] 61
Distance [28,5] 39
Distance [28,6] 62
Distance [28,7] 21
Distance [28,8] 57
Distance [28,9] 88
Distance [28,10] 91
Distance [28,11] 54
Distance [28,12] 29
Distance [28,13] 18
Distance [28,14] 15
Distance [28,15] 52
Distance [28,16] 76
Distance [28,17] 32
Distance [28,18] 20
Distance [28,19] 58
Distance [28,20] 65
Distance [29,1] 28
Distance [29,2] 40
Distance [29,3] 81
Distance [29,4] 33
Distance [29,5] 68
Distance [29,6] 34
Distance [29,7] 55
Distance [29,8] 56
Distance [29,9] 15
Distance [29,10] 19
Distance [29,11] 20
Distance [29,12] 91
Distance [29,13] 60
Distance [29,14] 62
Distance [29,15] 56
Distance [29,16] 8
Distance [29,17] 45
Distance [29,18] 82
Distance [29,19] 85
Distance [29,20] 54
Distance [30,1] 34
Distance [30,2] 49
Distance [30,3] 90
Distance [30,4] 40
Distance [30,5] 76
Distance [30,6] 39
Distance [30,7] 64
Distance [30,8] 63
Distance [30,9] 9
Distance [30,10] 12
Distance [30,11] 30
Distance [30,12] 100
Distance [30,13] 70
Distance [30,14] 72
Distance [30,15] 63
Distance [30,16] 12
Distance [30,17] 54
Distance [30,18] 90
Distance [30,19] 91
Distance [30,20] 60
Distance [31,1] 55
Distance [31,2] 38
Distance [31,3] 34
Distance [31,4] 49
Distance [31,5] 26
Distance [31,6] 61
Distance [31,7] 21
Distance [31,8] 44
Distance [31,9] 82
Distance [31,10] 85
Distance [31,11] 47
Distance [31,12] 25
Distance [31,13] 7
Distance [31,14] 5
Distance [31,15] 57
Distance [31,16] 68
Distance [31,17] 31
Distance [31,18] 33
Distance [31,19] 68
Distance [31,20] 51
Distance [32,1] 28
Distance [32,2] 26
Distance [32,3] 52
Distance [32,4] 23
Distance [32,5] 29
Distance [32,6] 45
Distance [32,7] 25
Distance [32,8] 30
Distance [32,9] 56
Distance [32,10] 59
Distance [32,11] 21
Distance [32,12] 50
Distance [32,13] 21
Distance [32,14] 23
Distance [32,15] 52
Distance [32,16] 40
Distance [32,17] 23
Distance [32,18] 52
Distance [32,19] 74
Distance [32,20] 34
Distance [33,1] 39
Distance [33,2] 17
Distance [33,3] 58
Distance [33,4] 40
Distance [33,5] 61
Distance [33,6] 13
Distance [33,7] 34
Distance [33,8] 59
Distance [33,9] 33
Distance [33,10] 36
Distance [33,11] 14
Distance [33,12] 77
Distance [33,13] 45
Distance [33,14] 46
Distance [33,15] 32
Distance [33,16] 31
Distance [33,17] 23
Distance [33,18] 58
Distance [33,19] 60
Distance [33,20] 60
Distance [34,1] 38
Distance [34,2] 21
Distance [34,3] 62
Distance [34,4] 40
Distance [34,5] 64
Distance [34,6] 14
Distance [34,7] 39
Distance [34,8] 60
Distance [34,9] 29
Distance [34,10] 32
Distance [34,11] 15
Distance [34,12] 81
Distance [34,13] 49
Distance [34,14] 50
Distance [34,15] 35
Distance [34,16] 28
Distance [34,17] 28
Distance [34,18] 63
Distance [34,19] 63
Distance [34,20] 61
Distance [35,1] 35
Distance [35,2] 15
Distance [35,3] 44
Distance [35,4] 32
Distance [35,5] 38
Distance [35,6] 36
Distance [35,7] 16
Distance [35,8] 41
Distance [35,9] 54
Distance [35,10] 58
Distance [35,11] 20
Distance [35,12] 52
Distance [35,13] 20
Distance [35,14] 21
Distance [35,15] 41
Distance [35,16] 43
Distance [35,17] 12
Distance [35,18] 44
Distance [35,19] 62
Distance [35,20] 46
Distance [36,1] 31
Distance [36,2] 71
Distance [36,3] 97
Distance [36,4] 28
Distance [36,5] 44
Distance [36,6] 83
Distance [36,7] 71
Distance [36,8] 21
Distance [36,9] 72
Distance [36,10] 75
Distance [36,11] 54
Distance [36,12] 74
Distance [36,13] 61
Distance [36,14] 64
Distance [36,15] 97
Distance [36,16] 51
Distance [36,17] 70
Distance [36,18] 96
Distance [36,19] 121
Distance [36,20] 13
Distance [37,1] 57
Distance [37,2] 28
Distance [37,3] 24
Distance [37,4] 52
Distance [37,5] 38
Distance [37,6] 51
Distance [37,7] 10
Distance [37,8] 53
Distance [37,9] 76
Distance [37,10] 80
Distance [37,11] 43
Distance [37,12] 36
Distance [37,13] 12
Distance [37,14] 10
Distance [37,15] 44
Distance [37,16] 66
Distance [37,17] 21
Distance [37,18] 23
Distance [37,19] 55
Distance [37,20] 59
Distance [38,1] 70
Distance [38,2] 26
Distance [38,3] 21
Distance [38,4] 68
Distance [38,5] 65
Distance [38,6] 39
Distance [38,7] 23
Distance [38,8] 76
Distance [38,9] 74
Distance [38,10] 76
Distance [38,11] 49
Distance [38,12] 63
Distance [38,13] 39
Distance [38,14] 37
Distance [38,15] 20
Distance [38,16] 71
Distance [38,17] 24
Distance [38,18] 22
Distance [38,19] 28
Distance [38,20] 81
Distance [39,1] 67
Distance [39,2] 46
Distance [39,3] 29
Distance [39,4] 61
Distance [39,5] 34
Distance [39,6] 69
Distance [39,7] 28
Distance [39,8] 55
Distance [39,9] 93
Distance [39,10] 96
Distance [39,11] 59
Distance [39,12] 20
Distance [39,13] 19
Distance [39,14] 17
Distance [39,15] 61
Distance [39,16] 80
Distance [39,17] 39
Distance [39,18] 28
Distance [39,19] 67
Distance [39,20] 62
Distance [40,1] 101
Distance [40,2] 56
Distance [40,3] 41
Distance [40,4] 100
Distance [40,5] 97
Distance [40,6] 58
Distance [40,7] 56
Distance [40,8] 109
Distance [40,9] 95
Distance [40,10] 97
Distance [40,11] 78
Distance [40,12] 90
Distance [40,13] 72
Distance [40,14] 69
Distance [40,15] 34
Distance [40,16] 98
Distance [40,17] 56
Distance [40,18] 43
Distance [40,19] 6
Distance [40,20] 114
Distance [41,1] 37
Distance [41,2] 43
Distance [41,3] 56
Distance [41,4] 30
Distance [41,5] 10
Distance [41,6] 64
Distance [41,7] 34
Distance [41,8] 21
Distance [41,9] 73
Distance [41,10] 77
Distance [41,11] 40
Distance [41,12] 36
Distance [41,13] 20
Distance [41,14] 23
Distance [41,15] 68
Distance [41,16] 55
Distance [41,17] 38
Distance [41,18] 55
Distance [41,19] 86
Distance [41,20] 28
Distance [42,1] 31
Distance [42,2] 59
Distance [42,3] 79
Distance [42,4] 25
Distance [42,5] 24
Distance [42,6] 76
Distance [42,7] 55
Distance [42,8] 3
Distance [42,9] 74
Distance [42,10] 77
Distance [42,11] 48
Distance [42,12] 54
Distance [42,13] 43
Distance [42,14] 46
Distance [42,15] 85
Distance [42,16] 53
Distance [42,17] 56
Distance [42,18] 78
Distance [42,19] 107
Distance [42,20] 8
Distance [43,1] 50
Distance [43,2] 6
Distance [43,3] 35
Distance [43,4] 48
Distance [43,5] 52
Distance [43,6] 27
Distance [43,7] 14
Distance [43,8] 59
Distance [43,9] 56
Distance [43,10] 59
Distance [43,11] 28
Distance [43,12] 60
Distance [43,13] 30
Distance [43,14] 29
Distance [43,15] 24
Distance [43,16] 51
Distance [43,17] 5
Distance [43,18] 36
Distance [43,19] 46
Distance [43,20] 63
Distance [44,1] 17
Distance [44,2] 28
Distance [44,3] 66
Distance [44,4] 18
Distance [44,5] 47
Distance [44,6] 35
Distance [44,7] 38
Distance [44,8] 39
Distance [44,9] 36
Distance [44,10] 40
Distance [44,11] 7
Distance [44,12] 70
Distance [44,13] 40
Distance [44,14] 42
Distance [44,15] 51
Distance [44,16] 21
Distance [44,17] 30
Distance [44,18] 66
Distance [44,19] 78
Distance [44,20] 39
Distance [45,1] 77
Distance [45,2] 33
Distance [45,3] 41
Distance [45,4] 77
Distance [45,5] 82
Distance [45,6] 31
Distance [45,7] 41
Distance [45,8] 89
Distance [45,9] 68
Distance [45,10] 70
Distance [45,11] 53
Distance [45,12] 84
Distance [45,13] 58
Distance [45,14] 56
Distance [45,15] 8
Distance [45,16] 71
Distance [45,17] 36
Distance [45,18] 43
Distance [45,19] 21
Distance [45,20] 93
Distance [46,1] 36
Distance [46,2] 29
Distance [46,3] 70
Distance [46,4] 39
Distance [46,5] 68
Distance [46,6] 19
Distance [46,7] 46
Distance [46,8] 61
Distance [46,9] 21
Distance [46,10] 24
Distance [46,11] 16
Distance [46,12] 87
Distance [46,13] 55
Distance [46,14] 56
Distance [46,15] 42
Distance [46,16] 22
Distance [46,17] 35
Distance [46,18] 71
Distance [46,19] 71
Distance [46,20] 60
Distance [47,1] 41
Distance [47,2] 49
Distance [47,3] 60
Distance [47,4] 34
Distance [47,5] 5
Distance [47,6] 70
Distance [47,7] 39
Distance [47,8] 20
Distance [47,9] 78
Distance [47,10] 82
Distance [47,11] 46
Distance [47,12] 34
Distance [47,13] 24
Distance [47,14] 26
Distance [47,15] 74
Distance [47,16] 60
Distance [47,17] 44
Distance [47,18] 59
Distance [47,19] 91
Distance [47,20] 28
Distance [48,1] 61
Distance [48,2] 18
Distance [48,3] 41
Distance [48,4] 61
Distance [48,5] 70
Distance [48,6] 19
Distance [48,7] 30
Distance [48,8] 75
Distance [48,9] 56
Distance [48,10] 58
Distance [48,11] 37
Distance [48,12] 75
Distance [48,13] 47
Distance [48,14] 46
Distance [48,15] 7
Distance [48,16] 56
Distance [48,17] 22
Distance [48,18] 42
Distance [48,19] 35
Distance [48,20] 78
Distance [49,1] 26
Distance [49,2] 21
Distance [49,3] 61
Distance [49,4] 28
Distance [49,5] 52
Distance [49,6] 26
Distance [49,7] 34
Distance [49,8] 47
Distance [49,9] 34
Distance [49,10] 37
Distance [49,11] 2
Distance [49,12] 72
Distance [49,13] 41
Distance [49,14] 42
Distance [49,15] 43
Distance [49,16] 24
Distance [49,17] 25
Distance [49,18] 61
Distance [49,19] 70
Distance [49,20] 48
Distance [50,1] 89
Distance [50,2] 73
Distance [50,3] 49
Distance [50,4] 82
Distance [50,5] 46
Distance [50,6] 96
Distance [50,7] 54
Distance [50,8] 69
Distance [50,9] 119
Distance [50,10] 122
Distance [50,11] 84
Distance [50,12] 16
Distance [50,13] 43
Distance [50,14] 42
Distance [50,15] 86
Distance [50,16] 104
Distance [50,17] 66
Distance [50,18] 47
Distance [50,19] 88
Distance [50,20] 77
Distance [51,1] 19
Distance [51,2] 49
Distance [51,3] 74
Distance [51,4] 13
Distance [51,5] 28
Distance [51,6] 63
Distance [51,7] 48
Distance [51,8] 10
Distance [51,9] 61
Distance [51,10] 65
Distance [51,11] 35
Distance [51,12] 57
Distance [51,13] 39
Distance [51,14] 42
Distance [51,15] 75
Distance [51,16] 41
Distance [51,17] 47
Distance [51,18] 74
Distance [51,19] 98
Distance [51,20] 10
Distance [52,1] 28
Distance [52,2] 38
Distance [52,3] 59
Distance [52,4] 21
Distance [52,5] 19
Distance [52,6] 57
Distance [52,7] 34
Distance [52,8] 19
Distance [52,9] 64
Distance [52,10] 67
Distance [52,11] 32
Distance [52,12] 45
Distance [52,13] 23
Distance [52,14] 26
Distance [52,15] 64
Distance [52,16] 46
Distance [52,17] 34
Distance [52,18] 58
Distance [52,19] 85
Distance [52,20] 24
Distance [53,1] 79
Distance [53,2] 34
Distance [53,3] 31
Distance [53,4] 78
Distance [53,5] 79
Distance [53,6] 39
Distance [53,7] 37
Distance [53,8] 88
Distance [53,9] 76
Distance [53,10] 78
Distance [53,11] 56
Distance [53,12] 77
Distance [53,13] 53
Distance [53,14] 51
Distance [53,15] 15
Distance [53,16] 76
Distance [53,17] 35
Distance [53,18] 33
Distance [53,19] 15
Distance [53,20] 93
Distance [54,1] 14
Distance [54,2] 37
Distance [54,3] 67
Distance [54,4] 9
Distance [54,5] 32
Distance [54,6] 51
Distance [54,7] 39
Distance [54,8] 22
Distance [54,9] 51
Distance [54,10] 55
Distance [54,11] 23
Distance [54,12] 59
Distance [54,13] 34
Distance [54,14] 37
Distance [54,15] 63
Distance [54,16] 32
Distance [54,17] 36
Distance [54,18] 66
Distance [54,19] 87
Distance [54,20] 23
Distance [55,1] 67
Distance [55,2] 64
Distance [55,3] 57
Distance [55,4] 60
Distance [55,5] 21
Distance [55,6] 87
Distance [55,7] 49
Distance [55,8] 43
Distance [55,9] 102
Distance [55,10] 106
Distance [55,11] 68
Distance [55,12] 12
Distance [55,13] 32
Distance [55,14] 33
Distance [55,15] 85
Distance [55,16] 85
Distance [55,17] 58
Distance [55,18] 55
Distance [55,19] 94
Distance [55,20] 51
Distance [56,1] 60
Distance [56,2] 59
Distance [56,3] 57
Distance [56,4] 53
Distance [56,5] 14
Distance [56,6] 82
Distance [56,7] 45
Distance [56,8] 37
Distance [56,9] 96
Distance [56,10] 99
Distance [56,11] 62
Distance [56,12] 17
Distance [56,13] 28
Distance [56,14] 29
Distance [56,15] 81
Distance [56,16] 78
Distance [56,17] 53
Distance [56,18] 55
Distance [56,19] 93
Distance [56,20] 45
Distance [57,1] 27
Distance [57,2] 69
Distance [57,3] 96
Distance [57,4] 25
Distance [57,5] 45
Distance [57,6] 80
Distance [57,7] 70
Distance [57,8] 22
Distance [57,9] 68
Distance [57,10] 71
Distance [57,11] 51
Distance [57,12] 75
Distance [57,13] 60
Distance [57,14] 63
Distance [57,15] 94
Distance [57,16] 47
Distance [57,17] 68
Distance [57,18] 96
Distance [57,19] 119
Distance [57,20] 14
Distance [58,1] 30
Distance [58,2] 24
Distance [58,3] 65
Distance [58,4] 33
Distance [58,5] 60
Distance [58,6] 22
